question_number,question,answer,marks,subject,level,topic,subtopic,document_type,question_type,estimated_difficulty,keywords,curriculum_tag,question_length,question_clarity,answer_completeness,data_completeness,quality_flags,subject_validation,level_validation,consistency_check,source_file
1,Thescientific nameofanorganismconsistsof:,a)Genus andspecies c)Classandphylum b)Family andorder d) Speciesandkingdom,2.0,Biology,O-Level,Human Biology,,Revision/Questions,recall,Easy,"organ, organism, name",Biology-O-Level-Human Biology,41,0.6000000000000001,0.7,0.8999999999999999,ok,valid,valid,consistent,BIOLOGY REVISION QUESTIONS FOR ORDINARY LEVEL OK.pdf
1,Whichpartof the microscopeis usedto adjustthe focussharply?,A. Coarseadjustmentknob B.Fineadjustment knob C. Diaphragm D.Stage clip 16 CompiledbyHUNGURIMANADieudonné(0788473140);ENDPKARUBANDA;HUYE,4.0,Biology,O-Level,,,Revision/Questions,explanation,Medium,,Biology-O-Level,59,0.75,0.7,0.8999999999999999,ok,unclear,valid,consistent,BIOLOGY REVISION QUESTIONS FOR ORDINARY LEVEL OK.pdf
1,Whichorganelle is known asthe powerhouseofthe cell?,A.Ribosome C. Golgiapparatus B.Mitochondrion D. Lysosome,4.0,Biology,O-Level,Cell Biology,,Revision/Questions,explanation,Medium,"cell, organ",Biology-O-Level-Cell Biology,51,0.75,0.61,0.8999999999999999,ok,valid,valid,consistent,BIOLOGY REVISION QUESTIONS FOR ORDINARY LEVEL OK.pdf
1,"Nucleus A. Living,jelly-like fluid in whichreactions take place inside the cell",a) True b) False c) False d) False e) False,3.0,Biology,O-Level,Cell Biology,,Revision/Questions,other,Medium,cell,Biology-O-Level-Cell Biology,79,0.6499999999999999,0.615,0.8999999999999999,ok,valid,valid,consistent,BIOLOGY REVISION QUESTIONS FOR ORDINARY LEVEL OK.pdf
1,Whichofthe followingisnotpartofthe levelsoforganizationinliving things?,a)Molecule c)Element b)Organ d) Tissue,4.0,Biology,O-Level,Human Biology,,Revision/Questions,explanation,Medium,organ,Biology-O-Level-Human Biology,71,0.75,0.6425,0.8999999999999999,ok,unclear,valid,consistent,BIOLOGY REVISION QUESTIONS FOR ORDINARY LEVEL OK.pdf
1,Whichofthe followingfeaturesispresentinall chordatesatsome stage ofdevelopment?,A. Jointedappendages C. Exoskeleton B.Notochord D. Compound eyes,6.0,Biology,O-Level,,,Revision/Questions,design,Medium,,Biology-O-Level,79,0.75,0.45999999999999996,0.8999999999999999,ok,unclear,valid,consistent,BIOLOGY REVISION QUESTIONS FOR ORDINARY LEVEL OK.pdf
1,Whichofthe followingisa ball andsocketjoint?,A. Knee C.Shoulder B.Elbow D.Ankle,4.0,Biology,O-Level,,,Revision/Questions,explanation,Medium,,Biology-O-Level,44,0.75,0.5275,0.8999999999999999,ok,unclear,valid,consistent,BIOLOGY REVISION QUESTIONS FOR ORDINARY LEVEL OK.pdf
1,a) Nameany one disease causedbybacteria.,How canyoupreventthe disease youhave namedfrom infecting other people?,2.0,Biology,O-Level,,,Revision/Questions,recall,Easy,"disease, name",Biology-O-Level,40,0.6000000000000001,0.6,0.8999999999999999,ok,unclear,valid,consistent,BIOLOGY REVISION QUESTIONS FOR ORDINARY LEVEL OK.pdf
1,Whichcontraceptive methodisconsideredthe mosteffectivereversibleoption?,A. Condoms C. IUDs (Intrauterine devices) B.Birthcontrol pills D. Withdrawalmethod,4.0,Biology,O-Level,,,Revision/Questions,explanation,Medium,,Biology-O-Level,71,0.75,0.7999999999999999,0.8999999999999999,ok,unclear,valid,consistent,BIOLOGY REVISION QUESTIONS FOR ORDINARY LEVEL OK.pdf
1,"Copyand complete eachstatementbyunderlining the correctterm inthe brackets. a. Inthe relationship betweenlions and zebras,the lionis the (predator /prey). b. Ina parasite-hostrelationship, the hostis usually (harmed/killed).",a) True b) False c) False d) False e) False,3.0,Biology,O-Level,,,Revision/Questions,recall,Medium,state,Biology-O-Level,224,0.6000000000000001,0.615,0.8999999999999999,ok,unclear,valid,consistent,BIOLOGY REVISION QUESTIONS FOR ORDINARY LEVEL OK.pdf
