id,name,formula,description,category,subject
1,Newton's First Law of Motion,F = 0 → v = constant,"An object at rest stays at rest, and an object in motion stays in motion at constant velocity, unless acted upon by an unbalanced force.",Law,Physics
2,Newton's Second Law of Motion,F = ma,The acceleration of an object is directly proportional to the net force acting on it and inversely proportional to its mass.,Law,Physics
3,Newton's Third Law of Motion,F₁₂ = -F₂₁,"For every action, there is an equal and opposite reaction.",Law,Physics
4,Law of Universal Gravitation,F = G(m₁m₂)/r²,Every particle attracts every other particle with a force proportional to the product of their masses and inversely proportional to the square of the distance between them.,Law,Physics
5,Conservation of Energy,E_total = constant,"Energy cannot be created or destroyed, only transformed from one form to another.",Principle,Physics
6,Conservation of Momentum,Σp_initial = Σp_final,The total momentum of a closed system remains constant if no external forces act on it.,Principle,Physics
7,Ohm's Law,V = IR,"The voltage across a conductor is directly proportional to the current flowing through it, with resistance as the constant of proportionality.",Law,Physics
8,Coulomb's Law,F = k(q₁q₂)/r²,The force between two point charges is directly proportional to the product of their charges and inversely proportional to the square of the distance between them.,Law,Physics
9,Faraday's Law of Electromagnetic Induction,ε = -dΦ/dt,The induced electromotive force in any closed circuit is equal to the negative of the time rate of change of the magnetic flux through the circuit.,Law,Physics
10,Lenz's Law,ε = -dΦ/dt,The direction of induced current is such that it opposes the change causing it.,Law,Physics
11,Einstein's Mass-Energy Equivalence,E = mc²,"Energy and mass are equivalent and can be converted into each other, where c is the speed of light.",Principle,Physics
12,Planck's Law,E = hf,"The energy of a photon is proportional to its frequency, where h is Planck's constant.",Law,Physics
13,Heisenberg Uncertainty Principle,Δx·Δp ≥ ħ/2,It is impossible to simultaneously know the exact position and momentum of a particle with perfect accuracy.,Principle,Physics
14,Pauli Exclusion Principle,No two identical fermions can occupy the same quantum state,No two electrons in an atom can have the same set of four quantum numbers.,Principle,Physics
15,Schrödinger Equation,iħ(∂ψ/∂t) = Ĥψ,The fundamental equation of quantum mechanics describing how quantum states evolve over time.,Equation,Physics
16,Maxwell's Equations,"∇·E = ρ/ε₀, ∇×E = -∂B/∂t, ∇·B = 0, ∇×B = μ₀J + μ₀ε₀(∂E/∂t)",Four fundamental equations describing how electric and magnetic fields are generated and altered by charges and currents.,Law,Physics
17,Boyle's Law,PV = constant (at constant T),The pressure of a gas is inversely proportional to its volume at constant temperature.,Law,Physics
18,Charles's Law,V/T = constant (at constant P),The volume of a gas is directly proportional to its absolute temperature at constant pressure.,Law,Physics
19,Ideal Gas Law,PV = nRT,"The relationship between pressure, volume, temperature, and number of moles of an ideal gas.",Law,Physics
20,First Law of Thermodynamics,ΔU = Q - W,The change in internal energy of a system equals the heat added to the system minus the work done by the system.,Law,Physics
21,Second Law of Thermodynamics,ΔS ≥ 0 (for isolated systems),The total entropy of an isolated system can never decrease over time.,Law,Physics
22,Kinetic Energy,KE = (1/2)mv²,The energy possessed by an object due to its motion.,Formula,Physics
23,Potential Energy (Gravitational),PE = mgh,The energy stored in an object due to its position in a gravitational field.,Formula,Physics
24,Work-Energy Theorem,W = ΔKE,The work done on an object equals the change in its kinetic energy.,Theorem,Physics
25,Power,P = W/t = Fv,The rate at which work is done or energy is transferred.,Formula,Physics
26,Wave Equation,v = fλ,The speed of a wave equals its frequency multiplied by its wavelength.,Formula,Physics
27,Snell's Law,n₁sin(θ₁) = n₂sin(θ₂),The relationship between the angles of incidence and refraction when light passes through different media.,Law,Physics
28,Doppler Effect,f' = f(v ± v₀)/(v ∓ vₛ),The change in frequency of a wave in relation to an observer moving relative to the wave source.,Principle,Physics
29,Einstein's Special Relativity - Time Dilation,t = t₀/√(1 - v²/c²),Time passes more slowly for objects moving at high speeds relative to an observer.,Principle,Physics
30,Einstein's Special Relativity - Length Contraction,L = L₀√(1 - v²/c²),Objects appear shorter in the direction of motion when moving at high speeds.,Principle,Physics
31,Photoelectric Effect,KE_max = hf - φ,Electrons are emitted from a material when light of sufficient frequency strikes it.,Principle,Physics
32,De Broglie Wavelength,λ = h/p = h/(mv),"All matter exhibits wave-like properties, with wavelength inversely proportional to momentum.",Principle,Physics
33,Rutherford Scattering,F = k(Ze)(2e)/(r²),"The scattering of alpha particles by atomic nuclei, leading to the discovery of the atomic nucleus.",Principle,Physics
34,Blackbody Radiation,E = σT⁴,The total energy radiated per unit surface area of a blackbody is proportional to the fourth power of its temperature.,Law,Physics
35,Bernoulli's Principle,P + (1/2)ρv² + ρgh = constant,"In a flowing fluid, an increase in speed occurs simultaneously with a decrease in pressure.",Principle,Physics
36,Archimedes' Principle,F_buoyant = ρ_fluid × V_displaced × g,The upward buoyant force on an object immersed in a fluid equals the weight of the fluid displaced.,Principle,Physics
37,Pascal's Principle,F₁/A₁ = F₂/A₂,Pressure applied to a confined fluid is transmitted undiminished to all parts of the fluid.,Principle,Physics
38,Hooke's Law,F = -kx,The force needed to extend or compress a spring is proportional to the distance it is stretched or compressed.,Law,Physics
39,Centripetal Force,F = mv²/r,The force required to keep an object moving in a circular path.,Formula,Physics
40,Torque,τ = r × F = rFsin(θ),"The rotational equivalent of force, causing angular acceleration.",Formula,Physics
41,Angular Momentum,L = r × p = Iω,"The rotational equivalent of linear momentum, conserved in closed systems.",Formula,Physics
42,Moment of Inertia,I = Σmr²,"The resistance of an object to rotational motion, depending on mass distribution.",Formula,Physics
43,Angular Velocity,ω = dθ/dt,The rate of change of angular displacement with respect to time.,Formula,Physics
44,Angular Acceleration,α = dω/dt,The rate of change of angular velocity with respect to time.,Formula,Physics
45,Rotational Kinetic Energy,KE_rot = (1/2)Iω²,The kinetic energy due to rotational motion of a rigid body.,Formula,Physics
46,Simple Harmonic Motion,x(t) = A cos(ωt + φ),Periodic motion where restoring force is proportional to displacement.,Principle,Physics
47,Period of Simple Pendulum,T = 2π√(L/g),The time period of a simple pendulum depends only on length and gravitational acceleration.,Formula,Physics
48,Period of Spring-Mass System,T = 2π√(m/k),The period of oscillation for a mass-spring system depends on mass and spring constant.,Formula,Physics
49,Electric Field,E = F/q = kQ/r²,The force per unit charge experienced by a test charge in an electric field.,Formula,Physics
50,Electric Potential,V = kQ/r,The electric potential energy per unit charge at a point in space.,Formula,Physics
51,Electric Potential Energy,U = qV = k(q₁q₂)/r,The energy stored in a system of charges due to their positions.,Formula,Physics
52,Capacitance,C = Q/V,The ability of a capacitor to store charge per unit voltage.,Formula,Physics
53,Energy Stored in Capacitor,U = (1/2)CV² = (1/2)Q²/C,The energy stored in a charged capacitor.,Formula,Physics
54,Magnetic Field (Straight Wire),B = μ₀I/(2πr),The magnetic field around a straight current-carrying wire.,Formula,Physics
55,Magnetic Force on Moving Charge,F = q(v × B),The force experienced by a moving charge in a magnetic field.,Formula,Physics
56,Magnetic Force on Current-Carrying Wire,F = IL × B,The force on a current-carrying wire in a magnetic field.,Formula,Physics
57,Magnetic Flux,Φ = B·A = BAcos(θ),The measure of magnetic field passing through a surface.,Formula,Physics
58,Self-Inductance,L = Φ/I,"The ratio of magnetic flux to current in a coil, causing opposition to current change.",Formula,Physics
59,Energy Stored in Inductor,U = (1/2)LI²,The energy stored in the magnetic field of an inductor.,Formula,Physics
60,AC Circuit - RMS Voltage,V_rms = V₀/√2,"The root mean square voltage in an AC circuit, equivalent to DC voltage producing same power.",Formula,Physics
61,AC Circuit - RMS Current,I_rms = I₀/√2,The root mean square current in an AC circuit.,Formula,Physics
62,Resonant Frequency (LC Circuit),f = 1/(2π√(LC)),"The frequency at which an LC circuit resonates, storing energy between inductor and capacitor.",Formula,Physics
63,Refraction Index,n = c/v,"The ratio of speed of light in vacuum to speed in a medium, determining light bending.",Formula,Physics
64,Critical Angle,θ_c = arcsin(n₂/n₁),The angle of incidence beyond which total internal reflection occurs.,Formula,Physics
65,Thin Lens Equation,1/f = 1/d₀ + 1/dᵢ,Relates focal length to object and image distances for thin lenses.,Formula,Physics
66,Magnification,m = -dᵢ/d₀ = hᵢ/h₀,"The ratio of image height to object height, or negative ratio of image to object distance.",Formula,Physics
67,Double-Slit Interference,d sin(θ) = mλ,The condition for constructive interference in double-slit experiment.,Formula,Physics
68,Single-Slit Diffraction,a sin(θ) = mλ,The condition for destructive interference in single-slit diffraction.,Formula,Physics
69,Bragg's Law,nλ = 2d sin(θ),The condition for constructive interference in X-ray diffraction from crystal planes.,Law,Physics
70,Stefan-Boltzmann Law,P = σAT⁴,The total power radiated per unit area by a blackbody is proportional to the fourth power of temperature.,Law,Physics
71,Wien's Displacement Law,λ_max T = b,The wavelength at which blackbody radiation peaks is inversely proportional to temperature.,Law,Physics
72,Compton Scattering,Δλ = (h/(m_e c))(1 - cos(θ)),"The change in wavelength when X-rays scatter off electrons, demonstrating particle nature of light.",Principle,Physics
73,Rydberg Constant,R_H = 1.097 × 10⁷ m⁻¹,The constant in the Rydberg formula for hydrogen spectral lines.,Constant,Physics
74,Bohr Radius,a₀ = 5.29 × 10⁻¹¹ m,The most probable distance between electron and nucleus in hydrogen atom ground state.,Constant,Physics
75,Fine Structure Constant,α = e²/(4πε₀ħc) ≈ 1/137,A dimensionless constant characterizing the strength of electromagnetic interaction.,Constant,Physics
76,Schrödinger Equation (Time-Independent),Ĥψ = Eψ,The time-independent form of Schrödinger equation for stationary states.,Equation,Physics
77,Wave Function Normalization,∫|ψ|² dV = 1,The probability density integrated over all space must equal one.,Principle,Physics
78,Expectation Value,<A> = ∫ψ*Âψ dV,The average value of a physical quantity in quantum mechanics.,Formula,Physics
79,Einstein's General Relativity Field Equations,G_μν = (8πG/c⁴)T_μν,The fundamental equations describing how matter and energy curve spacetime.,Equation,Physics
80,Schwarzschild Radius,r_s = 2GM/c²,The radius of the event horizon of a non-rotating black hole.,Formula,Physics
81,Gravitational Redshift,z = Δλ/λ = GM/(rc²),The shift in wavelength of light due to gravitational field.,Principle,Physics
82,Escape Velocity,v_esc = √(2GM/r),The minimum velocity needed to escape gravitational field of a massive body.,Formula,Physics
83,Orbital Velocity,v = √(GM/r),The velocity required for a satellite to maintain circular orbit.,Formula,Physics
84,Kepler's First Law,Planets orbit in ellipses with Sun at one focus,The path of each planet around the Sun is an ellipse with the Sun at one focus.,Law,Physics
85,Kepler's Second Law,dA/dt = constant,A line joining a planet and the Sun sweeps equal areas in equal times.,Law,Physics
86,Kepler's Third Law,T² ∝ r³,The square of orbital period is proportional to cube of semi-major axis.,Law,Physics
87,Reynolds Number,Re = ρvL/μ,Dimensionless number predicting flow regime (laminar vs turbulent) in fluid dynamics.,Formula,Physics
88,Poiseuille's Law,Q = (πr⁴ΔP)/(8ηL),The volumetric flow rate through a pipe depends on pressure difference and pipe geometry.,Law,Physics
89,Surface Tension,γ = F/L,The force per unit length acting along the boundary of a liquid surface.,Formula,Physics
90,Young's Modulus,E = σ/ε = (F/A)/(ΔL/L),"The ratio of stress to strain, measuring material stiffness.",Formula,Physics
91,Shear Modulus,G = τ/γ,"The ratio of shear stress to shear strain, measuring resistance to shear deformation.",Formula,Physics
92,Bulk Modulus,K = -V(dP/dV),The resistance of a material to uniform compression.,Formula,Physics
93,Pythagorean Theorem,a² + b² = c²,"In a right triangle, the square of the hypotenuse equals the sum of squares of the other two sides.",Theorem,Mathematics
94,Fundamental Theorem of Calculus,∫[a to b] f'(x)dx = f(b) - f(a),The definite integral of a function's derivative over an interval equals the difference in the function's values at the endpoints.,Theorem,Mathematics
95,Mean Value Theorem,f'(c) = (f(b) - f(a))/(b - a),"For a differentiable function on an interval, there exists a point where the instantaneous rate of change equals the average rate of change.",Theorem,Mathematics
96,Intermediate Value Theorem,"If f(a) < k < f(b), then ∃c: f(c) = k",A continuous function takes on every value between its values at two points.,Theorem,Mathematics
97,Binomial Theorem,"(a + b)ⁿ = Σ[k=0 to n] C(n,k) a^(n-k) b^k",Expands the power of a binomial expression into a sum of terms.,Theorem,Mathematics
98,Euler's Formula,e^(iθ) = cos(θ) + i sin(θ),Relates complex exponentials to trigonometric functions.,Formula,Mathematics
99,Euler's Identity,e^(iπ) + 1 = 0,"A special case of Euler's formula, considered one of the most beautiful equations in mathematics.",Identity,Mathematics
100,Quadratic Formula,x = (-b ± √(b² - 4ac))/(2a),Solves quadratic equations of the form ax² + bx + c = 0.,Formula,Mathematics
101,Distance Formula,d = √((x₂ - x₁)² + (y₂ - y₁)²),Calculates the distance between two points in a coordinate plane.,Formula,Mathematics
102,Slope Formula,m = (y₂ - y₁)/(x₂ - x₁),Calculates the slope of a line passing through two points.,Formula,Mathematics
103,Area of Circle,A = πr²,Calculates the area of a circle given its radius.,Formula,Mathematics
104,Circumference of Circle,C = 2πr,Calculates the perimeter of a circle given its radius.,Formula,Mathematics
105,Volume of Sphere,V = (4/3)πr³,Calculates the volume of a sphere given its radius.,Formula,Mathematics
106,Surface Area of Sphere,SA = 4πr²,Calculates the surface area of a sphere given its radius.,Formula,Mathematics
107,Law of Sines,a/sin(A) = b/sin(B) = c/sin(C),Relates the sides and angles of any triangle.,Law,Mathematics
108,Law of Cosines,c² = a² + b² - 2ab cos(C),Generalizes the Pythagorean theorem to any triangle.,Law,Mathematics
109,Derivative of xⁿ,d/dx(xⁿ) = nx^(n-1),The power rule for differentiation.,Rule,Mathematics
110,Product Rule,d/dx(fg) = f'g + fg',Rule for finding the derivative of a product of two functions.,Rule,Mathematics
111,Quotient Rule,d/dx(f/g) = (f'g - fg')/g²,Rule for finding the derivative of a quotient of two functions.,Rule,Mathematics
112,Chain Rule,d/dx(f(g(x))) = f'(g(x))·g'(x),Rule for finding the derivative of a composite function.,Rule,Mathematics
113,Integration by Parts,∫u dv = uv - ∫v du,Technique for integrating the product of two functions.,Rule,Mathematics
114,L'Hôpital's Rule,lim[x→a] f(x)/g(x) = lim[x→a] f'(x)/g'(x),Method for evaluating limits of indeterminate forms.,Rule,Mathematics
115,Taylor Series,f(x) = Σ[n=0 to ∞] (f^(n)(a)/n!)(x - a)ⁿ,Represents a function as an infinite sum of terms calculated from its derivatives at a point.,Series,Mathematics
116,Fourier Series,f(x) = a₀/2 + Σ[n=1 to ∞] (aₙcos(nx) + bₙsin(nx)),Represents a periodic function as a sum of sine and cosine functions.,Series,Mathematics
117,Bayes' Theorem,P(A|B) = P(B|A)·P(A)/P(B),Describes the probability of an event based on prior knowledge of conditions related to the event.,Theorem,Mathematics
118,Central Limit Theorem,"As n → ∞, sample mean → N(μ, σ²/n)",The distribution of sample means approaches a normal distribution as sample size increases.,Theorem,Mathematics
119,Fermat's Last Theorem,xⁿ + yⁿ = zⁿ has no integer solutions for n > 2,No three positive integers satisfy the equation for any integer power greater than 2.,Theorem,Mathematics
120,Gödel's Incompleteness Theorems,Any consistent formal system is incomplete,"In any sufficiently powerful formal system, there are true statements that cannot be proven within the system.",Theorem,Mathematics
121,Pythagorean Identity,sin²(θ) + cos²(θ) = 1,Fundamental trigonometric identity relating sine and cosine.,Identity,Mathematics
122,Sum of Angles Formula,sin(A + B) = sin(A)cos(B) + cos(A)sin(B),Formula for the sine of the sum of two angles.,Formula,Mathematics
123,Logarithm Properties,"log(ab) = log(a) + log(b), log(a/b) = log(a) - log(b)",Fundamental properties of logarithms for multiplication and division.,Property,Mathematics
124,Change of Base Formula,log_b(x) = log_a(x)/log_a(b),Converts logarithms from one base to another.,Formula,Mathematics
125,Sum of Arithmetic Series,S_n = n/2(a₁ + aₙ) = n/2(2a₁ + (n-1)d),Calculates the sum of the first n terms of an arithmetic sequence.,Formula,Mathematics
126,Sum of Geometric Series,S_n = a₁(1 - rⁿ)/(1 - r),Calculates the sum of the first n terms of a geometric sequence.,Formula,Mathematics
127,Infinite Geometric Series,S = a₁/(1 - r) for |r| < 1,Calculates the sum of an infinite geometric series when the common ratio is between -1 and 1.,Formula,Mathematics
128,Euler's Number,e = lim[n→∞] (1 + 1/n)ⁿ ≈ 2.71828,"The base of natural logarithms, fundamental in calculus and exponential growth.",Constant,Mathematics
129,Golden Ratio,φ = (1 + √5)/2 ≈ 1.618,The ratio where the whole is to the larger part as the larger part is to the smaller part.,Constant,Mathematics
130,Fibonacci Sequence,Fₙ = Fₙ₋₁ + Fₙ₋₂,"A sequence where each number is the sum of the two preceding ones, starting from 0 and 1.",Sequence,Mathematics
131,Area of Triangle,A = (1/2)bh = (1/2)ab sin(C),"The area of a triangle equals half the product of base and height, or half the product of two sides and sine of included angle.",Formula,Mathematics
132,Area of Rectangle,A = lw,The area of a rectangle equals length times width.,Formula,Mathematics
133,Area of Parallelogram,A = bh,The area of a parallelogram equals base times height.,Formula,Mathematics
134,Area of Trapezoid,A = (1/2)(a + b)h,The area of a trapezoid equals half the sum of parallel sides times height.,Formula,Mathematics
135,Volume of Cylinder,V = πr²h,The volume of a cylinder equals the area of circular base times height.,Formula,Mathematics
136,Volume of Cone,V = (1/3)πr²h,The volume of a cone equals one-third the volume of a cylinder with same base and height.,Formula,Mathematics
137,Surface Area of Cylinder,SA = 2πr² + 2πrh,The total surface area of a cylinder equals two circular bases plus lateral surface.,Formula,Mathematics
138,Surface Area of Cone,SA = πr² + πr√(r² + h²),The total surface area of a cone equals base area plus lateral surface area.,Formula,Mathematics
139,Volume of Pyramid,V = (1/3)Bh,The volume of a pyramid equals one-third the product of base area and height.,Formula,Mathematics
140,Midpoint Formula,"M = ((x₁ + x₂)/2, (y₁ + y₂)/2)",Finds the midpoint between two points in a coordinate plane.,Formula,Mathematics
141,Equation of Circle,(x - h)² + (y - k)² = r²,"The standard form equation of a circle with center (h,k) and radius r.",Formula,Mathematics
142,Equation of Ellipse,(x-h)²/a² + (y-k)²/b² = 1,"The standard form equation of an ellipse centered at (h,k) with semi-axes a and b.",Formula,Mathematics
143,Equation of Parabola,y = a(x-h)² + k,"The vertex form equation of a parabola with vertex (h,k) and vertical axis.",Formula,Mathematics
144,Equation of Hyperbola,(x-h)²/a² - (y-k)²/b² = 1,"The standard form equation of a hyperbola centered at (h,k).",Formula,Mathematics
145,Derivative of e^x,d/dx(e^x) = e^x,The exponential function is its own derivative.,Rule,Mathematics
146,Derivative of ln(x),d/dx(ln(x)) = 1/x,The derivative of natural logarithm is the reciprocal function.,Rule,Mathematics
147,Derivative of sin(x),d/dx(sin(x)) = cos(x),The derivative of sine is cosine.,Rule,Mathematics
148,Derivative of cos(x),d/dx(cos(x)) = -sin(x),The derivative of cosine is negative sine.,Rule,Mathematics
149,Derivative of tan(x),d/dx(tan(x)) = sec²(x),The derivative of tangent is secant squared.,Rule,Mathematics
